Model,Accuracy,Precision,Recall,F1,AUC,TrainTime (s)
CNN,0.8833172613307618,0.8419243986254296,0.9441233140655106,0.8900999091734787,0.9590986527402713,178.00804686546326
PCA + Logistic,0.8013500482160077,0.8027079303675049,0.7996146435452793,0.8011583011583011,0.8804241896727446,0.03124547004699707
SVM,0.9546769527483124,0.9402985074626866,0.9710982658959537,0.9554502369668246,0.9887945335922215,315.47982692718506
